gene,f_score,p_value
1567612_at,1.1574215987891845,0.33292047747280434
236109_at,1.157225889590141,0.3330086558060256
1563802_at,1.157158212879899,0.333039152607696
1553083_at,1.156727983452218,0.33323307900002136
219533_at,1.1566830084995454,0.33325335693368263
234955_at,1.1565351439816345,0.3333200320982009
206478_at,1.156476651089139,0.33334641081496313
232952_at,1.1562379790020272,0.3334540634916531
216240_at,1.1560591979505273,0.3335347213550401
234704_at,1.1559317149786548,0.33359224577486246
232680_at,1.155860073681066,0.3336245762559906
1553219_a_at,1.155695047710671,0.33369905954503915
1560694_at,1.1556846788983999,0.33370373989594054
234462_at,1.1554638629697014,0.3338034263806575
1553262_a_at,1.1552258041280914,0.3339109248531313
232775_at,1.1552154407676851,0.3339156052131024
231513_at,1.155116780083013,0.33396016564663566
213334_x_at,1.1550221874442888,0.334002893376673
233701_at,1.1545773995582311,0.33420386611517283
236998_at,1.1544997860032686,0.3342389452863836
241573_at,1.1544451076635593,0.33426366021521525
230066_at,1.1544408497745597,0.33426558486967123
216577_at,1.1544313125079113,0.3342698959461408
1565826_at,1.1543781917675526,0.33429390865839853
205193_at,1.1543323207795684,0.3343146453446816
207136_at,1.1539890747269885,0.3344698489477777
243820_at,1.153981062353442,0.3344734725721068
237601_at,1.1539716791710692,0.3344777161910771
1556345_s_at,1.1538852632822334,0.3345168005691884
219519_s_at,1.153554348614076,0.33466650252259034
1569461_at,1.1534925872970114,0.3346944487900804
243482_at,1.1534104086797001,0.3347316366521753
236584_at,1.1532995186749686,0.3347818225718716
217001_x_at,1.153249978095606,0.3348042453647269
214316_x_at,1.153132534258566,0.3348574071541454
218110_at,1.1530776618117242,0.3348822479622062
1552661_at,1.1530721669037975,0.3348847355965124
244053_at,1.1530272511492035,0.33490507026583055
233702_x_at,1.1529863158406803,0.33492360376497204
1559810_at,1.1529640289455847,0.3349336945358203
238518_x_at,1.1529203863689317,0.3349534551864041
1559607_s_at,1.1528785468417535,0.33497240035491277
236659_x_at,1.1527790808963814,0.335017442657365
227743_at,1.152629270062588,0.3350852927088815
1563391_at,1.1523278098905023,0.33522186007908367
239380_at,1.1523042963233412,0.33523251412974503
239249_at,1.1522832174852866,0.33524206523822675
217202_s_at,1.1520444892903694,0.33535025201074253
208210_at,1.152013705321312,0.33536420479131795
1562697_at,1.152008736061706,0.33536645714481317
224942_at,1.151985667631119,0.3353769132453324
216270_at,1.1518592517147155,0.3354342178994435
218560_s_at,1.1515397450580773,0.3355790873242784
237103_at,1.1515149158212545,0.3355903474725894
237966_at,1.151505691428011,0.3355945308480754
1557413_a_at,1.1514397761653286,0.3356244254886296
209180_at,1.1513418804555686,0.335668828346689
208970_s_at,1.1512627816373038,0.3357047090037787
219887_at,1.1511867737990342,0.3357391905367594
1566777_at,1.1511564249808746,0.3357529593300721
243429_at,1.1511386465916587,0.33576102533034535
203873_at,1.1510651424407317,0.3357943756443362
215408_at,1.1509567655571895,0.3358435534368191
207102_at,1.1509283498794796,0.3358564485071052
234681_s_at,1.1508964611128747,0.33587092015899844
1560926_at,1.1508086386681688,0.33591077811914793
214863_at,1.1507076053324765,0.3359566366608286
226701_at,1.15042321539268,0.33608574778180045
1562914_a_at,1.1502962522935303,0.3361434014724531
207301_at,1.150267959712328,0.3361562501957194
239550_at,1.1502301855247277,0.3361734055078704
1554059_at,1.150101963879058,0.3362316433476243
215476_at,1.1499238056208285,0.3363125761287081
222257_s_at,1.149879269217541,0.3363328104137028
239927_at,1.1498275874719444,0.33635629231829034
1559518_at,1.1497189580648897,0.3364056531625452
1553497_at,1.1495858474684075,0.33646614637434014
228282_at,1.1494215391961131,0.3365408300756992
239037_at,1.1492986919621773,0.33659667731030696
240628_at,1.1491949956481942,0.3366438243837892
206411_s_at,1.1491608307735706,0.33665935915279344
240530_at,1.1490965273785894,0.3366885995206325
216193_at,1.1490429090225824,0.3367129827439448
1555105_a_at,1.1490083666098034,0.3367286918598038
206211_at,1.1489452772322197,0.3367573850654355
236348_at,1.148750890499796,0.3368458053871266
1570444_at,1.1486785983670187,0.3368786936840707
